image,class,count
1478019952686311006.jpg,car,4
1478019952686311006.jpg,pedestrian,2
1478019952686311006.jpg,truck,2
1478019953180167674.jpg,car,4
1478019953180167674.jpg,truck,4
1478019953689774621.jpg,car,8
1478019953689774621.jpg,pedestrian,2
1478019953689774621.jpg,truck,2
1478019954186238236.jpg,car,8
1478019954186238236.jpg,pedestrian,2
1478019954186238236.jpg,truck,2
1478019954685370994.jpg,car,6
1478019954685370994.jpg,pedestrian,2
1478019954685370994.jpg,truck,2
1478019955185244088.jpg,car,3
1478019955185244088.jpg,pedestrian,1
1478019955185244088.jpg,truck,1
1478019955679801306.jpg,car,4
1478019955679801306.jpg,pedestrian,2
1478019955679801306.jpg,truck,4
1478019956186247611.jpg,car,8
1478019956186247611.jpg,pedestrian,2
1478019956186247611.jpg,truck,2
1478019956680248165.jpg,car,12
1478019956680248165.jpg,pedestrian,2
1478019956680248165.jpg,truck,2
1478019957180061202.jpg,car,14
1478019957180061202.jpg,pedestrian,2
1478019957180061202.jpg,truck,2
1478019957687018435.jpg,car,18
1478019957687018435.jpg,truck,2
1478019958179775471.jpg,car,16
1478019958179775471.jpg,truck,2
1478019958682197101.jpg,car,8
1478019958682197101.jpg,pedestrian,2
1478019958682197101.jpg,truck,2
1478019959187829768.jpg,car,12
1478019959187829768.jpg,truck,2
1478019959681353555.jpg,car,12
1478019960189614397.jpg,car,12
1478019960680764792.jpg,car,10
1478019960680764792.jpg,pedestrian,2
1478019961182003465.jpg,car,10
1478019961182003465.jpg,pedestrian,2
1478019961680640592.jpg,car,12
1478019961680640592.jpg,pedestrian,2
1478019962181150666.jpg,car,16
1478019962181150666.jpg,pedestrian,2
1478019962681840550.jpg,car,20
1478019962681840550.jpg,pedestrian,2
1478019963181283434.jpg,car,20
1478019963181283434.jpg,pedestrian,2
1478019963682173845.jpg,car,16
1478019963682173845.jpg,pedestrian,2
1478019964181479375.jpg,car,16
1478019964181479375.jpg,pedestrian,2
1478019964687995430.jpg,car,4
1478019964687995430.jpg,pedestrian,2
1478019965181415731.jpg,car,8
1478019965181415731.jpg,pedestrian,2
