epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP50,metrics/mAP50-95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
1,0.044702,0.030249,0.0067293,0.66506,0.52635,0.56286,0.27404,0.04039,0.020511,0.0054229,0.070033,0.0033297,0.0033297
2,0.04422,0.029487,0.0062476,0.66158,0.52292,0.5635,0.274,0.040845,0.020702,0.0052619,0.038714,0.0053437,0.0053437
3,0.044421,0.029319,0.0058835,0.67138,0.52711,0.56831,0.27296,0.040435,0.02066,0.0053823,0.0060746,0.0060378,0.0060378
4,0.043107,0.028862,0.0055034,0.70393,0.54578,0.58793,0.28644,0.04001,0.020378,0.0048467,0.00406,0.00406,0.00406
5,0.043645,0.029215,0.0057003,0.74205,0.54149,0.60132,0.29615,0.039465,0.020276,0.0048396,0.00406,0.00406,0.00406
6,0.042366,0.029032,0.005345,0.74,0.55902,0.61822,0.30795,0.038879,0.019915,0.0043041,0.070033,0.0033297,0.0033297
7,0.042632,0.028508,0.0051255,0.70742,0.56896,0.61495,0.3015,0.039592,0.020154,0.0043447,0.038714,0.0053437,0.0053437
8,0.043081,0.028418,0.0048571,0.68579,0.53807,0.57367,0.27134,0.040401,0.020563,0.0049457,0.0060746,0.0060378,0.0060378
9,0.041772,0.028175,0.004663,0.71625,0.55174,0.59766,0.2924,0.039449,0.020147,0.0043467,0.00406,0.00406,0.00406
10,0.042254,0.028438,0.0047976,0.71481,0.56561,0.61419,0.30645,0.039096,0.020104,0.0046521,0.00406,0.00406,0.00406
11,0.04168,0.028666,0.0049238,0.73261,0.58301,0.63415,0.31554,0.03837,0.019692,0.003844,0.070033,0.0033297,0.0033297
12,0.041779,0.028043,0.0045874,0.73263,0.58435,0.63738,0.31291,0.038908,0.019947,0.0038902,0.038714,0.0053437,0.0053437
13,0.042171,0.027852,0.0043172,0.70225,0.54905,0.59824,0.28846,0.039432,0.020615,0.0045368,0.0060746,0.0060378,0.0060378
14,0.040934,0.027726,0.0042103,0.71773,0.56253,0.6084,0.2997,0.039098,0.020066,0.004215,0.00406,0.00406,0.00406
15,0.041285,0.027906,0.0042937,0.71597,0.57149,0.61994,0.30755,0.039124,0.020031,0.0043553,0.00406,0.00406,0.00406
16,0.041273,0.028463,0.0046979,0.75261,0.59144,0.64741,0.32136,0.038155,0.0196,0.003612,0.070033,0.0033297,0.0033297
17,0.041149,0.027708,0.0042526,0.73594,0.58525,0.64283,0.31809,0.038797,0.019896,0.0038341,0.038714,0.0053437,0.0053437
18,0.041491,0.027462,0.0039294,0.70892,0.56023,0.60167,0.2871,0.039798,0.020501,0.0042125,0.0060746,0.0060378,0.0060378
19,0.040338,0.027383,0.0039113,0.71503,0.57584,0.62224,0.30871,0.038904,0.020141,0.0042537,0.00406,0.00406,0.00406
20,0.040658,0.027533,0.0039645,0.74831,0.58299,0.64015,0.31391,0.038659,0.019938,0.0038836,0.00406,0.00406,0.00406
